country_name;continent;capital;total_area;population
Greenland;North America;Nuuk;2166086;56770
Dominica;South America;Roseau;751;71986
Andorra;Eurasia;Andorra la Vella;468;77265
Isle of Man;Eurasia;Douglas;572;85033
Antigua and Barbuda;North America;Saint John's;442;97929
Seychelles;Africa;Victoria;455;98347
Virgin Islands (U.S.);North America;Charlotte Amalie;1910;104425
Tonga;Australia;Nuku'alofa;747;105695
Aruba;South America;Oranjestad;180;106766
Jersey;Eurasia;Saint Helier;116;107800
Saint Vincent and the Grenadines;North America;Kingstown;389;110940
Grenada;Eurasia;Saint George's;344;112523
Kiribati;Australia;Tarawa;811;119449
Curacao;South America;Willemstad;444;164093
Guam;Australia;Hagatna;544;168775
Saint Lucia;South America;Castries;616;183627
Samoa;Australia;Apia;2831;198414
Sao Tome and Principe;Africa;Sao Tome;964;219159
Brunei Darussalam;Eurasia;Bandar Seri Begawan;5765;437479
Malta;Eurasia;Valletta;316;441543
Maldives;Eurasia;Male;298;540544
Micronesia (Federated States of);Australia;Palikir;702;548914
Cabo Verde;Africa;Praia;4033;555987
Suriname;South America;Paramaribo;163820;586632
Western Sahara;Africa;Laayoune / El Aaiun;266000;597339
Luxembourg;Eurasia;Luxembourg;2586;625978
Montenegro;Eurasia;Podgorica;13812;628066
Macao;Eurasia;-;31;649335
Solomon Islands;Australia;Honiara;28896;686884
Bhutan;Eurasia;Thimphu;38394;771608
Guyana;South America;Georgetown;214969;786552
Comoros;Africa;Moroni;2235;869601
Reunion;Eurasia;Saint-denis;2512;895312
Fiji;Australia;Suva;18274;896445
Tanzania;Africa;United Republic of;0;947300
Djibouti;Africa;Djibouti;23200;988000
Eswatini;Africa;Mbabane;17364;1160164
Cyprus;Eurasia;Nicosia;9251;1207359
Mauritius;Africa;Port Louis;2040;1271768
Timor-Leste;Eurasia;Dili;14874;1318445
Estonia;Eurasia;Tallinn;45228;1326535
Trinidad and Tobago;South America;Port of Spain;5128;1399488
Equatorial Guinea;Africa;Malabo;28051;1402985
Bahrain;Eurasia;Manama;760;1701575
Latvia;Eurasia;Riga;64589;1886198
Guinea-Bissau;Africa;Bissau;36125;1968001
Slovenia;Eurasia;Ljubljana;20273;2078938
North Macedonia;Eurasia;Skopje;25713;2083374
Lesotho;Africa;Maseru;30355;2142249
Gabon;Africa;Libreville;267667;2225734
Botswana;Africa;Gaborone;581730;2351627
Gambia;Africa;Banjul;11295;2416668
Namibia;Africa;Windhoek;824292;2540905
Lithuania;Eurasia;Vilnius;65300;2722289
Puerto Rico;North America;San Juan;13790;2860853
Albania;Eurasia;Tirana;28748;2877797
Qatar;Eurasia;Doha;11586;2881053
Jamaica;North America;Kingston;10991;2961167
Armenia;Eurasia;Yerevan;29743;2963243
Mongolia;Eurasia;Ulaanbaatar;1564116;3278290
Bosnia and Herzegovina;Eurasia;Sarajevo;51197;3280819
Uruguay;South America;Montevideo;176215;3473730
Eritrea;Africa;Asmara;117600;3546421
Georgia;Eurasia;Tbilisi;69700;3989167
Moldova (Republic of);Eurasia;Chisinau;33851;4033963
Croatia;Eurasia;Zagreb;56594;4105267
Kuwait;Eurasia;Kuwait;17818;4270571
Panama;North America;Panama;75420;4314767
Mauritania;Africa;Nouakchott;1030700;4649658
New Zealand;Australia;Wellington;267710;4822233
Central African Republic;Africa;Bangui;622984;4829767
Ireland;Eurasia;Dublin;70273;4937786
Liberia;Africa;Monrovia;111369;5057681
Costa Rica;North America;San Jose;51100;5094118
Oman;Eurasia;Muscat;309500;5106626
Norway;Eurasia;Oslo;323802;5421241
Slovakia;Eurasia;Bratislava;49035;5459642
Congo;Africa;Brazzaville;342000;5518087
Finland;Eurasia;Helsinki;338145;5540720
Denmark;Eurasia;Copenhagen;43094;5792202
Singapore;Eurasia;Singapore;697;5850342
Turkmenistan;Eurasia;Ashgabat;488100;6031200
El Salvador;North America;San Salvador;21041;6486205
Kyrgyzstan;Eurasia;Bishkek;199951;6524195
Nicaragua;North America;Managua;130370;6624554
Lebanon;Eurasia;Beirut;10400;6825445
Libya;Africa;Tripoli;1759540;6871292
Bulgaria;Eurasia;Sofia;110879;6948445
Paraguay;South America;Asuncion;406752;7132538
Lao People's Democratic Republic;Eurasia;Vientiane;236800;7275560
Hong Kong;Eurasia;-;1104;7496981
Sierra Leone;Africa;Freetown;71740;7976983
Togo;Africa;Lome;56785;8278724
Switzerland;Eurasia;Bern;41277;8654622
Israel;Eurasia;Jerusalem;20770;8655535
Serbia;Eurasia;Belgrade;77474;8737371
Papua New Guinea;Australia;Port Moresby;462840;8947024
Austria;Eurasia;Vienna;83871;9006398
Belarus;Eurasia;Minsk;207600;9449323
Tajikistan;Eurasia;Dushanbe;143100;9537645
Hungary;Eurasia;Budapest;93028;9660351
United States of America;North America;Washington;0;9826675
United Arab Emirates;Eurasia;Abu Dhabi;83600;9890402
Honduras;Africa;Tegucigalpa;112090;9904607
Sweden;Eurasia;Stockholm;450295;10099265
Azerbaijan;Eurasia;Baku;86600;10139177
Portugal;Eurasia;Lisbon;92090;10196709
Jordan;Eurasia;Amman;89342;10203134
Greece;Eurasia;Athens;131957;10423054
Czechia;Eurasia;Prague;78867;10708981
Dominican Republic;North America;Santo Domingo;48670;10847910
South Sudan;Africa;Juba;644329;11193725
Cuba;North America;Havana;110860;11326616
Haiti;North America;Port-au-prince;27750;11402528
Belgium;Eurasia;Brussels;30528;11589623
Bolivia (Plurinational State of);South America;Sucre;1098581;11673021
Tunisia;Africa;Tunis;163610;11818619
Burundi;Africa;Bujumbura;27830;11890784
Benin;Africa;Porto-Novo;112622;12123200
Rwanda;Africa;Kigali;26338;12952218
Guinea;Africa;Conakry;245857;13132795
Zimbabwe;Africa;Harare;390757;14862924
Somalia;Africa;Mogadishu;637657;15893222
Chad;Africa;N'djamena;1284000;16425864
Cambodia;Eurasia;Phnom Penh;181035;16718965
Senegal;Africa;Dakar;196722;16743927
Netherlands;Eurasia;Amsterdam;41543;17134872
Syrian Arab Republic;Eurasia;Damascus;185180;17500658
Ecuador;South America;Quito;283561;17643054
Guatemala;North America;Guatemala City;108889;17915568
Zambia;Africa;Lusaka;752618;18383955
Kazakhstan;Eurasia;Astana;2724900;18776707
Chile;South America;Santiago;756102;19116201
Malawi;Africa;Lilongwe;118484;19129952
Romania;Eurasia;Bucharest;238391;19237691
Mali;Africa;Bamako;1240192;20250833
Burkina Faso;Africa;Ouagadougou;274200;20903273
Sri Lanka;Eurasia;Sri Jayewardenepura Kotte;65610;21413249
Taiwan (Province of China);Eurasia;Taipei;35980;23816775
Niger;Africa;Niamey;1186408;24206644
Australia;Australia;Canberra;7741220;25499884
Korea (Democratic People's Republic of);Eurasia;Pyongyang;120538;25778816
Cote d'Ivoire;Africa;Yamoussoukro;322463;26378274
Cameroon;Africa;Yaounde;475440;26545863
Madagascar;Africa;Antananarivo;587041;27691018
Venezuela (Bolivarian Republic of);South America;Caracas;912050;28435940
Nepal;Eurasia;Kathmandu;147181;29136808
Yemen;Eurasia;Sanaa;527968;29825964
Ghana;Africa;Accra;238533;31072940
Mozambique;Africa;Maputo;799380;31255435
Malaysia;Eurasia;Kuala Lumpur;329847;32365999
Angola;Africa;Luanda;1246700;32866272
Peru;South America;Lima;1285216;32971854
Uzbekistan;Eurasia;Tashkent;447400;33469203
Saudi Arabia;Eurasia;Riyadh;2149690;34813871
Morocco;Africa;Rabat;446550;36910560
Canada;North America;Ottawa;9984670;37742154
Poland;Eurasia;Warsaw;312685;37846611
Afghanistan;Eurasia;Kabul;652230;38928346
Iraq;Eurasia;Baghdad;438317;40222493
Ukraine;Eurasia;Kiev;603550;43733762
Sudan;Africa;Khartoum;1861484;43849260
Algeria;Africa;Algiers;2381741;43851044
Argentina;South America;Buenos Aires;2780400;45195774
Uganda;Africa;Kampala;241038;45741007
Spain;Eurasia;Madrid;505370;46754778
Colombia;South America;Bogota;1138910;50882891
Korea (Republic of);Eurasia;Seoul;99720;51269185
Kenya;Africa;Nairobi;580367;53771296
Myanmar;Eurasia;Pyinmana;676578;54409800
South Africa;Africa;Cape Town;1219090;59308690
Italy;Eurasia;Roma;301340;60461826
France;Eurasia;Paris;643801;65273511
United Kingdom of Great Britain and Northern Ireland;Eurasia;London;243610;67886011
Thailand;Eurasia;Bangkok;513120;69799978
Germany;Eurasia;Berlin;357022;83783942
Iran (Islamic Republic of);Eurasia;Tehran;1648195;83992949
Turkey;Eurasia;Ankara;783562;84339067
Congo (Democratic Republic of the);Africa;Kinshasa;2344858;89561403
Viet Nam;Eurasia;Ha Noi;331210;97338579
Egypt;Africa;Cairo;1001450;102334404
Philippines;Eurasia;Manila;300000;109581078
Ethiopia;Africa;Addis Ababa;1104300;114963588
Japan;Eurasia;Tokyo;377915;126476461
Mexico;South America;Mexico City;1964375;128932753
Russian Federation;Eurasia;Moscow;17098242;145934462
Bangladesh;Eurasia;Dhaka;143998;164689383
Nigeria;Africa;Abuja;923768;206139589
Brazil;South America;Brasilia;8514877;212559417
Pakistan;Eurasia;Islamabad;796095;220892340
Indonesia;Eurasia;Jakarta;1904569;273523615
India;Eurasia;New Delhi;3287263;1380004385
China;Eurasia;Beijing;9596961;1439323776
